timestamp,TimeUS,I,Alt,AltAMSL,Press,Temp,CRt,SMS,Offset,GndTemp,H,CPress
1778782973.16001606,52344054,0,0.00372314453125,584.0936889648438,94502.828125,30.12,0.0,52344,0.0,28.02182960510254,1,94502.828125
1778782973.16001606,52344054,1,-0.22869873046875,583.8612670898438,94504.1953125,30.12,0.0,52344,0.0,28.02182960510254,1,94504.1953125
1778782973.26080918,52444847,0,0.00372314453125,584.0936889648438,94502.828125,30.12,0.0,52444,0.0,28.02182960510254,1,94502.828125
1778782973.26080918,52444847,1,-0.21942138671875,583.8705444335938,94504.0859375,30.12,0.0,52444,0.0,28.02182960510254,1,94504.0859375
1778782973.36076903,52544807,0,0.00372314453125,584.0936889648438,94502.828125,30.13,0.0,52544,0.0,28.02182960510254,1,94502.828125
1778782973.36076903,52544807,1,-0.17547607421875,583.9144897460938,94503.59375,30.13,0.0,52544,0.0,28.02182960510254,1,94503.59375
1778782973.46072912,52644767,0,0.00372314453125,584.0936889648438,94502.828125,30.13,0.0,52644,0.0,28.02182960510254,1,94502.828125
1778782973.46072912,52644767,1,-0.23455810546875,583.8554077148438,94504.2578125,30.13,0.0,52644,0.0,28.02182960510254,1,94504.2578125
1778782973.56068897,52744727,0,0.00372314453125,584.0936889648438,94502.828125,30.13,0.0,52744,0.0,28.02182960510254,1,94502.828125
1778782973.56068897,52744727,1,-0.24627685546875,583.8436889648438,94504.3984375,30.14,0.0,52744,0.0,28.02182960510254,1,94504.3984375
1778782973.66064906,52844687,0,0.00372314453125,584.0936889648438,94502.828125,30.14,0.0,52844,0.0,28.02182960510254,1,94502.828125
1778782973.66064906,52844687,1,-0.23748779296875,583.8524780273438,94504.2890625,30.14,0.0,52844,0.0,28.02182960510254,1,94504.2890625
1778782973.76060915,52944647,0,0.00372314453125,584.0936889648438,94502.828125,30.14,0.0,52944,0.0,28.02182960510254,1,94502.828125
