timestamp,TimeUS,I,Alt,AltAMSL,Press,Temp,CRt,SMS,Offset,GndTemp,H,CPress
1778627314.43998408,54645633,0,0.00372314453125,584.0936889648438,94502.828125,30.2,0.0,54645,0.0,28.02182960510254,1,94502.828125
1778627314.43998408,54645633,1,0.0540771484375,584.14404296875,94500.984375,30.2,0.0,54645,0.0,28.02182960510254,1,94500.984375
1778627314.53994417,54745593,0,0.00372314453125,584.0936889648438,94502.828125,30.2,0.0,54745,0.0,28.02182960510254,1,94502.828125
1778627314.53994417,54745593,1,-0.29022216796875,583.7997436523438,94504.890625,30.2,0.0,54745,0.0,28.02182960510254,1,94504.890625
1778627314.63990402,54845553,0,0.00372314453125,584.0936889648438,94502.828125,30.21,0.0,54845,0.0,28.02182960510254,1,94502.828125
1778627314.63990402,54845553,1,0.02130126953125,584.1112670898438,94501.3515625,30.21,0.0,54845,0.0,28.02182960510254,1,94501.3515625
1778627314.73986411,54945513,0,0.00372314453125,584.0936889648438,94502.828125,30.21,0.0,54945,0.0,28.02182960510254,1,94502.828125
1778627314.73986411,54945513,1,0.05694580078125,584.1469116210938,94500.953125,30.21,0.0,54945,0.0,28.02182960510254,1,94500.953125
1778627314.83982420,55045473,0,0.00372314453125,584.0936889648438,94502.828125,30.21,0.0,55045,0.0,28.02182960510254,1,94502.828125
1778627314.83982420,55045473,1,-0.11102294921875,583.9789428710938,94502.859375,30.21,0.0,55045,0.0,28.02182960510254,1,94502.859375
1778627314.93978405,55145433,0,0.00372314453125,584.0936889648438,94502.828125,30.22,0.0,55145,0.0,28.02182960510254,1,94502.828125
1778627314.93978405,55145433,1,-0.08758544921875,584.0023803710938,94502.59375,30.22,0.0,55145,0.0,28.02182960510254,1,94502.59375
1778627315.03974414,55245393,0,0.00372314453125,584.0936889648438,94502.828125,30.22,0.0,55245,0.0,28.02182960510254,1,94502.828125
1778627315.03974414,55245393,1,-0.22283935546875,583.8671264648438,94504.1328125,30.22,0.0,55245,0.0,28.02182960510254,1,94504.1328125
1778627315.13970399,55345353,0,0.00372314453125,584.0936889648438,94502.828125,30.22,0.0,55345,0.0,28.02182960510254,1,94502.828125
1778627315.13970399,55345353,1,-0.25213623046875,583.8378295898438,94504.4609375,30.22,0.0,55345,0.0,28.02182960510254,1,94504.4609375
1778627315.23966408,55445313,0,0.00372314453125,584.0936889648438,94502.828125,30.23,0.0,55445,0.0,28.02182960510254,1,94502.828125
1778627315.23966408,55445313,1,-0.10809326171875,583.9818725585938,94502.828125,30.23,0.0,55445,0.0,28.02182960510254,1,94502.828125
1778627315.33962417,55545273,0,0.00372314453125,584.0936889648438,94502.828125,30.23,0.0,55545,0.0,28.02182960510254,1,94502.828125
1778627315.33962417,55545273,1,0.0628662109375,584.15283203125,94500.890625,30.23,0.0,55545,0.0,28.02182960510254,1,94500.890625
1778627315.43958402,55645233,0,0.00372314453125,584.0936889648438,94502.828125,30.23,0.0,55645,0.0,28.02182960510254,1,94502.828125
1778627315.43958402,55645233,1,-0.21356201171875,583.8764038085938,94504.0234375,30.23,0.0,55645,0.0,28.02182960510254,1,94504.0234375
1778627315.53954411,55745193,0,0.00372314453125,584.0936889648438,94502.828125,30.24,0.0,55745,0.0,28.02182960510254,1,94502.828125
1778627315.53954411,55745193,1,-0.28143310546875,583.8085327148438,94504.796875,30.24,0.0,55745,0.0,28.02182960510254,1,94504.796875
1778627315.63950419,55845153,0,0.00372314453125,584.0936889648438,94502.828125,30.24,0.0,55845,0.0,28.02182960510254,1,94502.828125
1778627315.63950419,55845153,1,0.04766845703125,584.1376342773438,94501.0625,30.24,0.0,55845,0.0,28.02182960510254,1,94501.0625
1778627315.73946404,55945113,0,0.00372314453125,584.0936889648438,94502.828125,30.24,0.0,55945,0.0,28.02182960510254,1,94502.828125
1778627315.73946404,55945113,1,-0.02264404296875,584.0673217773438,94501.8515625,30.24,0.0,55945,0.0,28.02182960510254,1,94501.8515625
1778627315.83942413,56045073,0,0.00372314453125,584.0936889648438,94502.828125,30.25,0.0,56045,0.0,28.02182960510254,1,94502.828125
1778627315.83942413,56045073,1,-0.04608154296875,584.0438842773438,94502.125,30.25,0.0,56045,0.0,28.02182960510254,1,94502.125
1778627315.93938398,56145033,0,0.00372314453125,584.0936889648438,94502.828125,30.25,0.0,56145,0.0,28.02182960510254,1,94502.828125
1778627315.93938398,56145033,1,-0.03143310546875,584.0585327148438,94501.9609375,30.25,0.0,56145,0.0,28.02182960510254,1,94501.9609375
1778627316.03934407,56244993,0,0.00372314453125,584.0936889648438,94502.828125,30.25,0.0,56244,0.0,28.02182960510254,1,94502.828125
1778627316.03934407,56244993,1,0.0628662109375,584.15283203125,94500.890625,30.25,0.0,56244,0.0,28.02182960510254,1,94500.890625
1778627316.13930416,56344953,0,0.00372314453125,584.0936889648438,94502.828125,30.26,0.0,56344,0.0,28.02182960510254,1,94502.828125
1778627316.13930416,56344953,1,0.0155029296875,584.10546875,94501.421875,30.25,0.0,56344,0.0,28.02182960510254,1,94501.421875
1778627316.23926401,56444913,0,0.00372314453125,584.0936889648438,94502.828125,30.26,0.0,56444,0.0,28.02182960510254,1,94502.828125
1778627316.23926401,56444913,1,-0.22283935546875,583.8671264648438,94504.1328125,30.26,0.0,56444,0.0,28.02182960510254,1,94504.1328125
1778627316.33922410,56544873,0,0.00372314453125,584.0936889648438,94502.828125,30.26,0.0,56544,0.0,28.02182960510254,1,94502.828125
1778627316.33922410,56544873,1,0.0389404296875,584.12890625,94501.15625,30.26,0.0,56544,0.0,28.02182960510254,1,94501.15625
1778627316.43918419,56644833,0,0.00372314453125,584.0936889648438,94502.828125,30.26,0.0,56644,0.0,28.02182960510254,1,94502.828125
1778627316.43918419,56644833,1,-0.23455810546875,583.8554077148438,94504.2578125,30.27,0.0,56644,0.0,28.02182960510254,1,94504.2578125
1778627316.53997707,56745626,0,0.00372314453125,584.0936889648438,94502.828125,30.27,0.0,56745,0.0,28.02182960510254,1,94502.828125
1778627316.53997707,56745626,1,0.02130126953125,584.1112670898438,94501.3515625,30.27,0.0,56745,0.0,28.02182960510254,1,94501.3515625
1778627316.63993716,56845586,0,0.00372314453125,584.0936889648438,94502.828125,30.27,0.0,56845,0.0,28.02182960510254,1,94502.828125
1778627316.63993716,56845586,1,-0.02264404296875,584.0673217773438,94501.8515625,30.27,0.0,56845,0.0,28.02182960510254,1,94501.8515625
1778627316.73989701,56945546,0,0.00372314453125,584.0936889648438,94502.828125,30.27,0.0,56945,0.0,28.02182960510254,1,94502.828125
1778627316.73989701,56945546,1,-0.21063232421875,583.8793334960938,94503.9921875,30.27,0.0,56945,0.0,28.02182960510254,1,94503.9921875
1778627316.83985710,57045506,0,0.00372314453125,584.0936889648438,94502.828125,30.28,0.0,57045,0.0,28.02182960510254,1,94502.828125
1778627316.83985710,57045506,1,-0.28436279296875,583.8056030273438,94504.828125,30.28,0.0,57045,0.0,28.02182960510254,1,94504.828125
1778627316.93981719,57145466,0,0.00372314453125,584.0936889648438,94502.828125,30.28,0.0,57145,0.0,28.02182960510254,1,94502.828125
1778627316.93981719,57145466,1,-0.21063232421875,583.8793334960938,94503.9921875,30.28,0.0,57145,0.0,28.02182960510254,1,94503.9921875
1778627317.03977704,57245426,0,0.00372314453125,584.0936889648438,94502.828125,30.28,0.0,57245,0.0,28.02182960510254,1,94502.828125
1778627317.03977704,57245426,1,-0.00213623046875,584.0878295898438,94501.6171875,30.28,0.0,57245,0.0,28.02182960510254,1,94501.6171875
1778627317.13973713,57345386,0,0.00372314453125,584.0936889648438,94502.828125,30.29,0.0,57345,0.0,28.02182960510254,1,94502.828125
1778627317.13973713,57345386,1,0.07159423828125,584.1615600585938,94500.78125,30.29,0.0,57345,0.0,28.02182960510254,1,94500.78125
1778627317.23969722,57445346,0,0.00372314453125,584.0936889648438,94502.828125,30.29,0.0,57445,0.0,28.02182960510254,1,94502.828125
1778627317.23969722,57445346,1,-0.25213623046875,583.8378295898438,94504.4609375,30.29,0.0,57445,0.0,28.02182960510254,1,94504.4609375
1778627317.33965707,57545306,0,0.00372314453125,584.0936889648438,94502.828125,30.29,0.0,57545,0.0,28.02182960510254,1,94502.828125
1778627317.33965707,57545306,1,0.07159423828125,584.1615600585938,94500.78125,30.29,0.0,57545,0.0,28.02182960510254,1,94500.78125
1778627317.43961716,57645266,0,0.00372314453125,584.0936889648438,94502.828125,30.3,0.0,57645,0.0,28.02182960510254,1,94502.828125
1778627317.43961716,57645266,1,-0.14324951171875,583.9467163085938,94503.2265625,30.3,0.0,57645,0.0,28.02182960510254,1,94503.2265625
1778627317.53957701,57745226,0,0.00372314453125,584.0936889648438,94502.828125,30.3,0.0,57745,0.0,28.02182960510254,1,94502.828125
