timestamp,TimeUS,I,Alt,AltAMSL,Press,Temp,CRt,SMS,Offset,GndTemp,H,CPress,TimeSec,AttackActive_BARO,Alt_attacked
1778788392.760016,65945278,0,0.00372314453125,584.0936889648438,94502.828125,30.51,0.0,65945,0.0,28.02182960510254,1,94502.828125,0.0,0,0.00372314453125
1778788392.760016,65945278,1,0.00079345703125,584.0907592773438,94501.5859375,30.51,0.0,65945,0.0,28.02182960510254,1,94501.5859375,0.0,0,0.00079345703125
1778788392.859976,66045238,0,0.00372314453125,584.0936889648438,94502.828125,30.52,0.0,66045,0.0,28.02182960510254,1,94502.828125,0.09996,0,0.00372314453125
1778788392.859976,66045238,1,0.08038330078125,584.1703491210938,94500.6875,30.52,0.0,66045,0.0,28.02182960510254,1,94500.6875,0.09996,0,0.08038330078125
1778788392.959936,66145198,0,0.00372314453125,584.0936889648438,94502.828125,30.52,0.0,66145,0.0,28.02182960510254,1,94502.828125,0.19992,0,0.00372314453125
1778788392.959936,66145198,1,-0.07830810546875,584.0116577148438,94502.4921875,30.52,0.0,66145,0.0,28.02182960510254,1,94502.4921875,0.19992,0,-0.07830810546875
1778788393.059896,66245158,0,0.00372314453125,584.0936889648438,94502.828125,30.52,0.0,66245,0.0,28.02182960510254,1,94502.828125,0.29988,0,0.00372314453125
1778788393.059896,66245158,1,-0.0079345703125,584.08203125,94501.6953125,30.52,0.0,66245,0.0,28.02182960510254,1,94501.6953125,0.29988,0,-0.0079345703125
1778788393.159856,66345118,0,0.00372314453125,584.0936889648438,94502.828125,30.52,0.0,66345,0.0,28.02182960510254,1,94502.828125,0.39984,0,0.00372314453125
1778788393.159856,66345118,1,-0.02264404296875,584.0673217773438,94501.8515625,30.52,0.0,66345,0.0,28.02182960510254,1,94501.8515625,0.39984,0,-0.02264404296875
1778788393.259816,66445078,0,0.00372314453125,584.0936889648438,94502.828125,30.53,0.0,66445,0.0,28.02182960510254,1,94502.828125,0.4998,0,0.00372314453125
